ID;Title;Type;House;Cost;STR (Char);Military (Char);Intrigue (Char);Power (Char);Crests (Char);Initiative (Plot);Claim (Plot);Influence;Gold Modifier;Traits;Keywords;Text;TextEffectMethodID
0;House Lannister;House;Lannister;;;;;;;;;;;;;;-1
1;Gutter Rat's Cunning;Attachment;Lannister;1;;;;;;;;;;Skill.;;Attached character gets +2 STR and gains stealth.;-1
2;Gilded Plate;Attachment;Lannister;0;;;;;;;;;;Armor.;;Response: Pay 1 gold and discard Gilded Plate from play (cannot be saved) to save attached character from being killed or discarded.;-1
3;Joffrey Baratheon;Character;Lannister;3;2;;;1;Noble;;;;;Lord.;;Response: After a Lord or Lady character is killed, Joffrey Baratheon claims 1 power. (Limit 3 times per round.);-1
4;Ser Jaime Lannister;Character;Lannister;4;3;1;1;;;;;;;Lord. Knight.;Deadly. Infamy.;Ser Jaime Lannister does not kneel to attack or defend during a military challenge.;-1
5;Tyrion Lannister;Character;Lannister;4;3;;1;1;Learned;;;;;Lord.;Stealth.;Response: After you win an intrigue challenge or a challenge in which Tyrion Lannister participated, pay 1 gold to draw a card.;-1
6;Cersei Lannister;Character;Lannister;3;3;;1;1;Noble;;;;;Lady.;;Dominance: Kneel Cersei Lannister and pay 2 gold to choose a character. Kneel that character if it is standing. That character does not stand during the standing phase this round.;-1
7;Tywin Lannister;Character;Lannister;5;4;1;1;1;Noble;;;;;Lord.;;At the beginning of the marshalling phase, take 2 gold from the treasury and place it on Tywin Lannister. You may spend gold tokens on Tywin Lannister as if they are in your gold pool.;-1
8;Ser Ilyn Payne;Character;Lannister;4;2;;1;1;;;;;;Knight. Ally.;;Marshalling: Kneel Ser Ilyn Payne to choose and kill a character with STR 2 or lower.;-1
9;The Hound;Character;Lannister;2;4;1;;;;;;;;Ally.;;If The Hound is killed, place him in your discard pile instead of your dead pile. At the beginning of the dominance phase, discard the top card from your deck or discard the Hound from play (cannot be saved).;-1
10;Chella, Daughter of Cheyk;Character;Lannister;3;3;1;;;;;;;;Clansman.;Stealth.;Response: After you win a challenge in which at least 1 Clansman character participated, pay X gold to choose and return a location to its owner's hand, where X is the printed gold cost of that location.;-1
11;Bronn;Character;Lannister;3;3;1;;1;;;;;;Knight. Mercenary.;No attachments. Deadly;Any Phase: Pay 2 gold to choose a character. Until the end of the phase, if that character would be killed and Bronn is kneeling, stand Bronn instead of killing that character.;-1
12;Grand Maester Pycelle;Character;Lannister;3;2;;1;1;;;;;;Maester.;;Response: After an opponent's effect reveals one or more cards, reveal the top card of your deck and put it into your hand (limit 3 per phase).;-1
13;Raff the Sweetling;Character;Lannister;2;2;1;1;;;;;;;Ally.;;Any Phase: Pay 1 gold to look at the top card of an opponent's deck. Then put that card either on the top or bottom of his or her deck.;-1
14;Ser Jacelyn Bywater;Character;Lannister;3;3;1;;1;;;;;;Knight.;;Immune to character abilities. Response: After Ser Jacelyn Bywater is killed, each opponent must choose and discard a card at random from his or her hand, if able.;-1
15;Enemy Informer;Character;Lannister;3;2;1;1;;;;;;;House Tyrell.;;Response: After you play Enemy Informer from your hand, choose and kneel a character.;-1
16;Qyburn's Informers;Character;Lannister;4;2;;1;;;;;;;Ally.;Stealth.;Response: After you win an intrigue challenge in which Qyburn's Informers participated, draw 2 cards.;L49
17;Cersei's Attendant;Character;Lannister;1;1;;1;;;;;;;Ally.;;Response: After Cersei Lannister or Cersei's Attendant is killed, choose and kneel a character.;-1
18;Lurkers at Harrenhal;Character;Lannister;6;6;;1;1;;;;;;House Clegane.;No attachments. Stealth. Deadly.;;-1
19;Lannisport Steward;Character;Lannister;2;2;;1;;;;;;2;Ally.;;;-1
20;Lannisport Weaponsmith;Character;Lannister;1;1;1;;;;;;;1;Ally.;;;-1
21;Lannisport Honor Guard;Character;Lannister;4;4;1;1;;;;;;;Army.;House Lannister only. No attachments.;Challenges: You may put Lannisport Honor Guard into play from your hand, under the control of any opponent. After that opponent wins a challenge in which Lannisport Honor Guard participated, take control of Lannisport Honor Guard.;-1
22;Lannisport;Location;Lannister;2;;;;;;;;;;Lannisport.;;Response: After you win an intrigue challenge, pay 1 gold to claim 1 power for your House (limit once per challenge).;-1
23;Lannisport Brothel;Location;Lannister;2;;;;;;;;;;King's Landing.;;Response: After a knelt character stands during the standing phase, kneel Lannisport Brothel to kneel that character.;-1
24;Golden Tooth Mines;Location;Lannister;2;;;;;;;;;;Westeros.;;Each time you reveal a plot card, draw a card.;L57
